Subject,Age,Gender,PMAT24_A_CR
100206,26-30,M,20.0
100610,26-30,M,23.0
101006,31-35,F,11.0
101309,26-30,M,15.0
101915,31-35,F,21.0
102311,26-30,F,20.0
102513,26-30,M,18.0
103414,22-25,F,17.0
103515,26-30,F,8.0
103818,31-35,F,16.0
105115,31-35,M,22.0
106016,31-35,F,22.0
107321,22-25,F,23.0
107422,22-25,M,24.0
108121,26-30,F,16.0
108222,31-35,M,22.0
109830,31-35,F,
110007,31-35,F,18.0
110411,31-35,M,16.0
110613,26-30,M,17.0
112112,26-30,M,21.0
112314,26-30,F,18.0
112920,31-35,M,17.0
113619,31-35,F,15.0
113922,31-35,M,15.0
116524,26-30,M,13.0
118124,31-35,F,16.0
118528,26-30,F,8.0
119126,22-25,F,17.0
121416,26-30,M,20.0
122822,31-35,F,19.0
123117,26-30,M,8.0
124422,31-35,F,18.0
124826,31-35,F,10.0
127630,22-25,F,21.0
128632,31-35,F,14.0
129028,26-30,M,24.0
129129,31-35,F,16.0
129634,22-25,M,20.0
130013,26-30,M,20.0
130316,26-30,F,14.0
130417,26-30,M,20.0
131217,26-30,F,11.0
131823,26-30,M,21.0
132017,22-25,F,22.0
133019,26-30,F,18.0
133827,22-25,M,13.0
134021,31-35,F,19.0
134223,26-30,F,24.0
134425,26-30,F,12.0
134728,26-30,M,23.0
135528,26-30,F,9.0
135730,22-25,M,21.0
135932,26-30,F,19.0
136732,31-35,F,15.0
136833,31-35,M,20.0
137229,22-25,M,24.0
137633,22-25,F,13.0
138231,31-35,F,10.0
139233,31-35,F,13.0
139637,31-35,F,21.0
139839,26-30,M,23.0
140117,26-30,F,8.0
141119,26-30,M,17.0
141826,26-30,F,10.0
144125,31-35,F,7.0
144731,26-30,F,21.0
146129,22-25,M,19.0
146432,31-35,M,9.0
146533,26-30,M,21.0
146937,31-35,F,20.0
147030,26-30,M,22.0
148133,26-30,F,22.0
149236,22-25,F,23.0
149337,31-35,M,18.0
149539,22-25,M,23.0
149842,31-35,F,16.0
150625,26-30,M,20.0
150928,22-25,M,21.0
151627,26-30,F,11.0
152831,26-30,M,14.0
153227,31-35,F,6.0
154229,22-25,F,22.0
154532,26-30,M,13.0
154734,31-35,M,20.0
154835,31-35,F,17.0
154936,26-30,M,13.0
155635,26-30,F,20.0
155938,26-30,M,21.0
157942,36+,F,19.0
158035,26-30,F,22.0
159138,31-35,M,21.0
159239,31-35,F,15.0
159340,26-30,M,19.0
159441,26-30,F,9.0
160830,26-30,F,18.0
161731,31-35,F,21.0
162329,26-30,F,10.0
162733,26-30,F,22.0
163331,31-35,M,15.0
163836,31-35,F,9.0
164030,31-35,M,23.0
164939,26-30,F,19.0
167238,31-35,F,15.0
168240,26-30,M,12.0
169949,26-30,M,15.0
170631,31-35,F,22.0
171633,26-30,M,18.0
172938,31-35,F,19.0
173435,26-30,F,19.0
173536,31-35,F,22.0
173738,31-35,M,15.0
173839,22-25,F,17.0
173940,26-30,F,20.0
174437,31-35,F,9.0
175035,22-25,M,8.0
175237,31-35,F,20.0
175338,22-25,F,21.0
175439,31-35,F,11.0
175742,31-35,F,24.0
176037,26-30,F,21.0
178950,31-35,M,20.0
179346,26-30,F,21.0
180129,26-30,F,7.0
181131,31-35,F,6.0
181232,26-30,F,15.0
181636,31-35,F,9.0
182436,31-35,F,12.0
183034,31-35,M,10.0
185139,31-35,F,22.0
185442,22-25,M,23.0
186141,31-35,M,6.0
186444,22-25,F,21.0
187345,31-35,F,19.0
188448,22-25,F,20.0
188549,22-25,M,20.0
188751,26-30,M,12.0
189450,22-25,M,6.0
